,loss,accuracy,val_loss,val_accuracy
0,0.27891790866851807,0.9234499931335449,0.05916101112961769,0.9811999797821045
1,0.11877325922250748,0.9666666388511658,0.0504029244184494,0.9836000204086304
2,0.09333579242229462,0.9725000262260437,0.04809346795082092,0.9837999939918518
3,0.0785013884305954,0.977816641330719,0.036162540316581726,0.9884999990463257
4,0.07224856317043304,0.9784166812896729,0.038966719061136246,0.9872000217437744
5,0.0650569349527359,0.9811999797821045,0.04630814492702484,0.9857000112533569
6,0.06107329577207565,0.9818833470344543,0.039579786360263824,0.9882000088691711
7,0.05749483406543732,0.9826499819755554,0.03351767733693123,0.989300012588501
8,0.05264051631093025,0.9842000007629395,0.041610732674598694,0.9869999885559082
9,0.04945777729153633,0.9849500060081482,0.0339035764336586,0.9887999892234802
10,0.045624956488609314,0.9857166409492493,0.03256899490952492,0.9907000064849854
11,0.04516535997390747,0.9861833453178406,0.029912231490015984,0.9914000034332275
12,0.044004205614328384,0.9869166612625122,0.03534660488367081,0.9896000027656555
13,0.04219864681363106,0.9872999787330627,0.0345306470990181,0.9897000193595886
14,0.0397925041615963,0.9880333542823792,0.0292087122797966,0.9909999966621399
15,0.038105808198451996,0.9876000285148621,0.03209071233868599,0.9898999929428101
16,0.03604509308934212,0.9887333512306213,0.02862248569726944,0.991599977016449
17,0.03598903492093086,0.9888666868209839,0.03335289657115936,0.9901000261306763
18,0.03329950571060181,0.9894166588783264,0.03207246586680412,0.9916999936103821
19,0.0339227169752121,0.9895166754722595,0.02860291488468647,0.9907000064849854
20,0.03203587606549263,0.9899166822433472,0.028477365151047707,0.9915000200271606
21,0.031256336718797684,0.9900500178337097,0.030534518882632256,0.991100013256073
22,0.03129133582115173,0.9901666641235352,0.028790386393666267,0.991599977016449
23,0.03143933787941933,0.9899333119392395,0.02858530916273594,0.991599977016449
24,0.029371099546551704,0.9907166957855225,0.02976827137172222,0.9909999966621399
25,0.028179209679365158,0.9912999868392944,0.0348542258143425,0.9902999997138977
26,0.028792543336749077,0.9906333088874817,0.031072592362761497,0.991100013256073
27,0.027012672275304794,0.9912499785423279,0.032937370240688324,0.9904000163078308
28,0.027761247009038925,0.991100013256073,0.031553976237773895,0.9905999898910522
29,0.02556857280433178,0.9914166927337646,0.03194732591509819,0.9916999936103821
30,0.02537474036216736,0.991599977016449,0.029978588223457336,0.9922999739646912
31,0.027087993919849396,0.9913333058357239,0.030543942004442215,0.9919999837875366
32,0.025379711762070656,0.9918333292007446,0.028870806097984314,0.9918000102043152
33,0.024254072457551956,0.9920833110809326,0.030889980494976044,0.9919000267982483
34,0.023514503613114357,0.9922166466712952,0.037778016179800034,0.9905999898910522
35,0.024980690330266953,0.9918166399002075,0.03089975006878376,0.9915000200271606
36,0.02241642214357853,0.9929666519165039,0.02952699363231659,0.9918000102043152
37,0.0239880308508873,0.9919666647911072,0.03046479821205139,0.9923999905586243
38,0.020909305661916733,0.9934666752815247,0.030027804896235466,0.9916999936103821
39,0.022846324369311333,0.9925333261489868,0.03282318264245987,0.9905999898910522
